ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
hsa05410	Hypertrophic cardiomyopathy	46/2205	90/8463	2.961240458957619e-7	8.99140284810768e-6	5.5257597081027346e-6	71/7168/55799/3695/7040/3679/3688/3675/4000/776/783/784/1674/7124/7139/1636/7169/1906/3569/3678/3655/3672/3908/6262/60/3696/59284/7171/782/3680/93589/4633/3693/4624/59283/6546/6443/6547/27092/7042/781/4634/3674/4625/3676/3691	46
hsa05202	Transcriptional misregulation in cancer	82/2205	193/8463	3.9494074836917907e-7	1.030609574896217e-5	6.333717841309875e-6	598/5218/1026/7185/5328/1848/5747/3087/8013/5154/958/3020/860/3695/51384/3684/1053/8091/942/64332/7048/440093/5087/4211/5914/4616/4790/329/4066/5468/6692/5371/3398/5077/6495/85414/2115/1437/2119/4804/3207/597/2521/3728/1051/6935/64919/894/2322/79058/604/3569/4005/4300/51804/2308/4613/3206/3002/4086/1647/51513/5327/84444/8938/3576/2120/4286/3195/890/7157/4914/7704/1050/1671/472/2138/4094/7850/10912/3486/653604	82
hsa05205	Proteoglycans in cancer	86/2205	205/8463	4.011354632829587e-7	1.030609574896217e-5	6.333717841309875e-6	6714/71/960/355/1026/5328/5291/5962/2260/5747/6385/2817/5604/2317/2017/51384/1278/5578/7040/2535/5335/1277/2335/3688/6608/117581/3710/816/857/5058/7480/2318/3236/5600/5293/6237/6382/7124/5579/815/4313/6548/7471/286/5567/288/3339/5605/1839/6774/7855/2065/7422/51196/3678/7482/3845/54361/6383/8321/7481/60/7477/7473/859/3593/4087/7157/3693/5329/7057/8322/7074/1975/7474/387/7976/595/7042/7483/7291/2099/8503/8324/858/356	86
hsa04064	NF-kappa B signaling pathway	50/2205	104/8463	1.0211536719985295e-6	2.436180903196492e-5	1.4971801957873176e-5	4792/598/7128/959/3383/4791/7185/5328/4049/3932/8837/958/8792/5335/4616/4790/329/8737/9020/8717/6850/7124/5579/84433/597/29760/128178/148022/7186/6351/1459/3553/1647/3576/7412/115650/5588/79092/27040/4615/5743/29775/9560/1896/3554/472/8600/6363/6357/10912	50
hsa05340	Primary immunodeficiency	24/2205	38/8463	1.579771012056272e-6	3.5176234535119654e-5	2.1617919112348987e-5	959/100/3932/57379/5993/958/64421/23495/3718/29760/4261/5788/973/5994/925/115650/930/326/916/3575/926/29851/915/927	24
hsa04933	AGE-RAGE signaling pathway in diabetic complications	48/2205	100/8463	1.7730477855081232e-6	3.701237252248207e-5	2.2746336721979213e-5	3383/5291/3725/6776/1278/5578/7048/7040/5335/1277/5331/4790/2335/1958/5332/5581/6777/5600/5293/7124/5579/4313/5333/1906/3569/6774/7422/7423/2308/27035/51196/5054/3845/3553/6347/3552/4088/3576/7412/4087/1287/1284/2152/595/1285/7056/7042/8503	48
hsa05165	Human papillomavirus infection	124/2205	331/8463	2.1505712862542327e-6	4.2252400565230224e-5	2.596665020554647e-5	5315/355/1026/5291/122011/3516/5747/3134/1452/10312/5604/7337/3695/51384/1278/9641/7297/3955/2535/1277/4790/2335/155066/3679/3688/3675/6934/3911/8717/3371/3912/6932/3280/7480/5528/5293/5520/23545/5525/7124/84441/55534/84667/90993/7471/245973/5567/5526/1021/27175/23352/898/894/148022/5523/7283/5605/7855/7422/2778/2308/3678/7249/7482/3845/3655/54361/8321/1291/3672/3908/7481/1869/3696/7477/3135/7473/1740/3133/1293/1311/3914/1292/3105/3680/83439/3107/182/890/7157/7058/1287/3693/1284/23462/7098/4600/9134/9586/57801/7057/5743/10319/8322/3918/92359/7148/7474/1280/6696/3106/472/7143/7976/595/5522/1285/7483/3674/8503/8324/3676/3691/356	124
hsa05146	Amoebiasis	48/2205	102/8463	3.59135602831e-6	6.663960630308556e-5	4.095405997195614e-5	87/5291/5747/2776/3684/1278/5578/7040/1277/5331/4790/2335/3911/3912/5332/1437/5293/7124/81/5579/5567/912/3569/2778/3689/3553/3592/3908/3914/3576/3593/913/3586/910/1287/5269/1284/338382/2769/10319/3918/3554/107/7850/1285/7042/9630/8503	48
hsa04015	Rap1 signaling pathway	84/2205	210/8463	5.489605052969388e-6	9.650147829956712e-5	5.930598256670531e-5	6714/71/57121/5291/2260/9732/5154/10235/2776/5604/3684/260425/5906/5578/5335/5331/5909/5216/112/3688/5332/2775/1942/1946/1902/2263/5600/4254/5293/1398/6237/4804/5579/64411/284/3683/2889/5899/2902/5155/5605/2253/7422/2778/7423/1944/3689/1435/136/51196/83660/3845/23094/11069/60/5156/2261/23683/1969/5228/5900/3643/111/56034/5608/109/8817/27040/2904/7057/7074/3815/2149/2533/107/387/805/2324/115/3674/999/80310/8503/5587	84
hsa04210	Apoptosis	59/2205	136/8463	7.6043522160194325e-6	1.2699268200752452e-4	7.804466748019944e-5	4792/598/71/355/7185/5291/27429/3725/153090/1520/84823/8837/112714/84790/5604/8722/4616/4790/329/7846/8737/9020/4000/3710/8717/7278/5293/8795/7124/597/5414/5783/842/1519/7186/5605/637/1677/468/54205/8739/3845/3002/1647/3563/60/1512/840/332/8743/2021/7157/4914/1508/472/10912/2353/8503/356	59
hsa04940	Type I diabetes mellitus	25/2205	43/8463	8.2168703186289e-6	1.3068736602009774e-4	8.031527379110955e-5	355/4049/3134/941/942/5798/7124/3109/1363/3553/3592/3002/3135/3552/3133/3105/3107/3593/3123/5799/3127/3106/3382/3108/356	25
hsa04668	TNF signaling pathway	51/2205	114/8463	1.1021924214332598e-5	1.673328494357767e-4	1.0283613501410798e-4	4792/7128/355/3383/9021/7185/5291/4049/3725/153090/8837/5604/64127/6416/4790/329/8737/9020/8717/1437/5600/5293/6376/7124/90993/4323/197259/1051/11035/9252/3600/7186/6352/1906/3569/468/1435/3976/3553/1326/840/6347/7412/182/5608/9586/5743/6364/2353/8503/8809	51
hsa04261	Adrenergic signaling in cardiomyocytes	64/2205	154/8463	1.7251331807325222e-5	2.505193401585489e-4	1.5395925411571708e-4	7168/55799/2776/5578/5331/112/154/5332/776/816/783/64091/5600/5528/5520/5525/784/90993/815/23533/481/6548/5567/5526/7139/493/5523/9252/7169/2778/468/480/147/11069/6262/59284/7171/482/782/486/93589/111/4633/109/477/153/4624/59283/9586/6546/3784/6547/6330/27092/146850/107/805/5522/491/781/4634/115/4625/3753	64
hsa00380	Tryptophan metabolism	24/2205	42/8463	1.8667680814222665e-5	2.545598293276568e-4	1.5644237856568888e-4	259307/224/847/8942/23498/39/121278/55526/130013/4128/3620/8564/1962/501/125061/217/316/169355/15/1543/4129/1545/26/883	24
hsa05416	Viral myocarditis	31/2205	60/8463	1.9053879440692875e-5	2.545598293276568e-4	1.5644237856568888e-4	959/71/3383/3134/958/941/942/857/1604/3109/3683/842/637/1525/3689/54205/3908/60/3135/3133/3105/2534/3107/3123/4624/6443/3127/3106/595/3108/4625	31
hsa05144	Malaria	27/2205	50/8463	2.3194852341290807e-5	2.9796464161504344e-4	1.8311725532598006e-4	959/3383/2995/5175/958/4035/7040/6382/7124/3683/3569/3689/3553/3592/6383/6347/1311/3576/7412/3586/7058/1378/4615/7057/3820/7042/948	27
hsa04060	Cytokine-cytokine receptor interaction	108/2205	295/8463	3.0996083158886406e-5	3.8343302870622444e-4	2.3564273746521828e-4	6367/959/3604/355/7292/4049/7293/6361/1236/9466/10148/11009/958/8792/7048/7040/50615/3594/8784/970/2690/1233/151449/84957/23495/3597/9235/8764/3601/1437/6376/8795/7124/4804/5008/3953/3587/92/57007/3559/3600/6352/3569/6351/8200/3556/83729/3557/1435/943/3976/939/3624/6346/55504/3553/3592/3459/3563/1271/8743/6347/3552/8793/93/3576/1438/2833/3581/115650/6362/29949/3626/3593/3595/3586/27302/130399/10563/6368/1441/6364/6369/3575/7852/94/9560/1896/3554/8718/3596/53342/8600/6375/8794/7850/6363/6357/58191/7042/51561/56300/4838/8809/64109/8807/356/1232	108
hsa04072	Phospholipase D signaling pathway	61/2205	148/8463	3.6309148779557014e-5	4.33116274727573e-4	2.661760906772037e-4	55326/2185/56894/57121/5291/1759/5154/5604/5578/5335/5331/112/8395/5338/5332/1902/1608/4254/5293/6850/6237/553/23533/5899/5155/5605/9846/2778/27128/6464/9265/7249/3845/11069/5156/551/8877/3576/2534/8613/5900/3643/111/56034/109/2205/2918/3815/146850/2149/107/5337/387/160851/8605/1607/115/5737/80310/8503/2915	61
hsa04360	Axon guidance	72/2205	182/8463	3.901389091009165e-5	4.493323987576073e-4	2.7614187758504075e-4	8482/6714/8633/5291/54910/5747/6092/23654/5578/4756/5335/5361/23380/3688/151449/6585/6608/57522/2050/816/1942/1946/5058/8440/9037/9353/5293/1808/6237/10398/22885/56963/1073/815/2051/10500/9901/10509/2047/2049/6405/85464/10154/84628/25791/1944/9423/5998/3845/1947/57689/5362/54361/1969/10501/2534/4776/1630/3897/90249/56924/7852/2048/7474/22854/387/7976/6586/9723/2043/91653/8503	72
hsa05142	Chagas disease	45/2205	102/8463	5.429696408882864e-5	6.045062001889588e-4	3.7150554376566965e-4	4792/355/5291/3725/8837/2776/6416/7048/7040/5331/4790/5332/2775/5600/5293/5520/7124/148022/1636/6352/3569/2778/5054/3553/3592/3459/6347/3576/3593/4087/3586/714/2769/916/4615/919/917/107/5522/915/7042/2353/9630/8503/356	45
hsa04218	Cellular senescence	63/2205	156/8463	5.6830925583581747e-5	6.123073917714936e-4	3.762998468182832e-4	1026/291/5291/28996/3134/7416/5604/7048/7040/4616/4790/3710/2113/776/23411/1030/5600/5293/6237/678/7417/1021/898/894/5605/3569/891/2308/7249/5054/3845/1647/91750/1869/293/2305/3135/3552/3133/4088/3576/3105/1874/4776/11200/3107/4087/890/9133/7157/5608/983/9134/4605/3106/472/805/595/10912/144715/7042/8503/3486	63
hsa04540	Gap junction	40/2205	88/8463	6.159349806255072e-5	6.428821360278731e-4	3.9508987244070366e-4	6714/347733/5154/7280/112714/84790/203068/2776/5604/5578/5331/112/7846/84617/3710/7278/5332/1902/1453/2697/5579/5567/347688/5155/5605/2778/10382/3845/5156/5593/111/56034/109/983/153/2983/107/115/80310/2915	40
hsa04921	Oxytocin signaling pathway	62/2205	154/8463	7.227225731113884e-5	7.314828467248598e-4	4.49540356480768e-4	6714/71/1026/3725/55799/29904/4882/2776/5604/5578/5331/112/3710/5332/2775/776/816/783/4881/3759/10398/784/5579/4638/815/23533/5567/5997/5605/2778/5020/57172/57118/3845/6262/60/59284/140465/782/4776/93589/111/109/2983/59283/952/5743/6261/814/27092/146850/107/85366/387/340156/805/595/8605/2353/781/115/3761	62
hsa05222	Small cell lung cancer	41/2205	92/8463	8.709305291692861e-5	8.555611668898281e-4	5.257939727182998e-4	4792/598/1026/7185/5291/2272/5747/4616/4790/2335/329/1164/3688/3675/3911/3912/1030/5293/1021/898/842/7186/5915/54205/3655/1647/3908/1869/3914/7157/1287/1284/9134/5743/10319/3918/595/1285/10912/3674/8503	41
hsa05330	Allograft rejection	21/2205	38/8463	1.2048771271473261e-4	0.0011497970299063054	7.066196685525672e-4	959/355/3134/958/941/942/7124/3109/3592/3002/3135/3133/3105/3107/3593/3586/3123/3127/3106/3108/356	21
hsa04926	Relaxin signaling pathway	53/2205	129/8463	1.2718742662801613e-4	0.0011800166803821498	7.251914676158816e-4	4792/94235/6714/5291/3725/2787/5604/6416/1278/5578/7048/7040/1277/5331/4790/112/2783/10681/5332/2775/2792/5600/5293/90993/4313/5567/5605/1906/7422/2778/468/7423/6464/4312/3845/54331/4087/111/1287/109/1284/2769/9586/2791/59/107/1285/2353/115/408/8503/3640/2788	53
hsa05321	Inflammatory bowel disease	31/2205	65/8463	1.3678978782039698e-4	0.001234805111676016	7.588622652909649e-4	3725/64127/7040/50615/3594/4790/6097/7124/3109/3569/6774/3553/3592/3459/3552/4088/3593/4087/3595/3586/3123/2625/6775/3127/3596/4094/7042/51561/3108/8809/8807	31
hsa04916	Melanogenesis	43/2205	101/8463	2.111004260842216e-4	0.001855461639792895	0.0011402931602887316	2776/5604/51384/5578/2535/5331/112/6934/5332/6932/2775/816/7480/4254/5579/90993/815/7471/5567/5605/1906/7855/2778/7482/3845/54361/8321/7481/7477/7473/4286/83439/111/109/8322/3815/7474/107/805/7976/7483/115/8324	43
hsa05143	African trypanosomiasis	20/2205	37/8463	2.6096270435506527e-4	0.0022203324539828376	0.0013645282966487657	355/3383/2776/5578/5331/5332/7124/5579/7064/8542/3569/3620/3553/3592/7412/3593/3586/4615/169355/356	20
hsa04390	Hippo signaling pathway	61/2205	157/8463	2.6590807832129794e-4	0.0022203324539828376	0.0013645282966487657	71/7531/51384/4092/7533/7048/7040/154796/2535/25937/329/151449/6934/7159/6932/1742/3398/7480/1453/7003/5520/7471/10413/6788/894/9231/7855/8200/3689/85407/7482/5054/54361/4086/8321/7481/60/332/7477/7473/1740/4088/7005/122786/83439/4087/6591/7161/7004/8322/2736/7474/286204/7976/595/5522/7042/7483/999/8324/166824	61
hsa05163	Human cytomegalovirus infection	82/2205	225/8463	3.209126256250245e-4	0.002614263828262395	0.001606622901075219	4792/94235/6714/2185/355/1026/5291/5747/3134/2787/2776/5604/5578/5331/4790/112/2783/8737/10681/3710/8717/5332/2775/2792/5600/5293/6376/1398/115004/7124/5579/90993/3587/5567/1021/842/7186/5605/6352/3569/6351/6774/637/7422/2778/468/54205/7249/3845/3553/9826/1869/5156/3135/6347/54331/3133/3576/3105/4776/3107/7157/111/5608/109/9586/2791/5732/5743/7852/9560/3554/3106/107/387/805/595/115/8503/2788/356/1232	82
hsa04934	Cushing syndrome	60/2205	155/8463	3.3392607100644835e-4	0.002655507326575089	0.0016319695199563265	1026/2776/5604/51384/5906/2535/5087/5331/112/6934/3710/5332/6932/776/816/7480/1030/90993/815/7471/2516/8913/5567/949/1021/898/5605/54554/7855/2778/468/3777/50940/7482/54361/8321/7481/1869/7477/7473/57552/6770/83439/111/109/196/9134/3949/8911/9586/8322/7474/107/3164/7976/595/7483/115/51655/8324	60
hsa04713	Circadian entrainment	41/2205	97/8463	3.527185558627663e-4	0.0027397208757712543	0.0016837238284758737	94235/2787/2776/5578/5331/112/2783/10681/3710/5332/2775/776/816/2792/5579/815/8913/5567/9252/2902/2778/6262/5593/54331/111/109/2983/8911/2904/2791/2906/6261/9722/107/805/2353/5187/115/51655/2893/2788	41
hsa04810	Regulation of actin cytoskeleton	83/2205	229/8463	3.6258204722451517e-4	0.0027523273584770013	0.0016914712729373318	6714/71/57121/87/5291/2245/5962/2260/5747/28984/5154/10109/5604/3695/3684/81624/2335/5216/3679/3688/9459/3675/8395/10787/4629/5058/1902/7114/23191/2263/8976/5293/1398/6237/10398/2934/81/4638/1073/6548/3683/85464/727/1730/5155/5605/9087/2253/8874/89846/3689/3678/3845/3655/3672/60/5156/2261/1793/3696/4627/3680/56034/4633/3693/8936/10458/8817/4628/10788/56924/7852/7074/2149/85366/387/340156/3674/80310/8503/29895/3676/3691	83
hsa04020	Calcium signaling pathway	90/2205	253/8463	4.314138612694788e-4	0.003172904049431894	0.0019499410325849963	2185/291/2260/5154/7416/2776/5578/5335/80228/5331/154/3710/5332/776/816/53373/2263/10800/5255/3707/5257/553/5579/4638/5027/815/7417/8913/5567/5979/493/444/2902/5333/5155/2253/2065/5025/7422/2778/7423/57172/57118/136/4486/51196/147/6262/5156/2261/293/8877/1139/3706/4776/844/56034/4914/109/7039/8817/153/777/2769/8911/2904/952/6915/6546/2906/7852/6261/6547/814/2149/107/85366/340156/805/2324/491/5260/6865/115/9630/57105/5737/80310/2915/4923	90
hsa04725	Cholinergic synapse	46/2205	113/8463	4.4273266295588175e-4	0.003172904049431894	0.0019499410325849963	94235/5291/2787/2776/5604/5578/5331/112/2783/10681/3710/5332/2775/776/816/43/2792/5293/3759/5579/90993/815/23533/8973/5567/468/3845/54331/1139/2534/56479/111/109/9586/2791/3784/1141/814/146850/107/2353/3786/115/8503/2788/3761	46
hsa04978	Mineral absorption	28/2205	60/8463	4.4648649797394914e-4	0.003172904049431894	0.0019499410325849963	3162/7779/7421/3163/481/79901/493/480/4891/4494/482/486/540/115019/55630/4495/477/4493/4502/65010/6546/1811/6547/491/6550/2495/30061/4496	28
hsa04925	Aldosterone synthesis and secretion	41/2205	98/8463	4.560422092225876e-4	0.003173293705840505	0.001950180499965013	2776/5578/5331/112/3710/5332/776/816/5581/4881/5579/90993/815/481/8913/5567/949/747/493/2778/468/3777/480/57172/57118/23683/482/6770/111/109/477/3949/8911/9586/814/107/3164/805/491/115/5587	41
hsa04062	Chemokine signaling pathway	71/2205	192/8463	4.893858471341977e-4	0.0033358137335269804	0.0020500588655460485	4792/6367/94235/6714/2185/5291/6361/5747/1236/2268/10235/2787/2776/5604/5906/5335/5331/4790/112/1233/2869/2783/10681/5332/2792/5058/6777/3718/5293/6376/1398/5579/23533/5567/3055/6352/6351/6774/6464/6346/3845/9844/6347/54331/3576/2833/6362/111/10563/3702/109/6368/2791/6364/6369/7852/7074/9560/146850/107/6375/387/6363/6357/58191/115/653361/408/8503/2788/1232	71
hsa05169	Epstein-Barr virus infection	74/2205	202/8463	5.175216750015937e-4	0.003457044789010646	0.0021245626657960164	7431/4792/7128/960/355/3383/1026/2208/4791/5291/3516/864/3725/3134/4734/958/6416/9641/7297/4616/4790/8737/5717/9020/8717/3280/3718/5600/5293/79685/6850/965/7124/29760/7979/10213/8819/3109/3683/1021/898/894/842/7186/3569/6774/637/54205/9612/1647/1869/3135/3133/3105/3107/930/890/7157/5608/3123/9134/916/4615/919/917/3127/3106/595/915/10912/953/3108/8503/4940	74
hsa04814	Motor proteins	71/2205	193/8463	5.805871275992841e-4	0.003691512675833969	0.0022686573330842237	71/7168/347733/10749/7280/112714/84790/4641/203068/56992/4647/7846/84617/64837/4629/7278/64005/10398/9585/9493/10120/53904/27175/7139/347688/1768/23303/1778/4642/7283/7169/399687/10382/3835/60/10540/3833/4627/24137/4646/55582/7140/140465/22989/147700/7171/201625/8632/285643/1769/4633/127602/4624/4628/140469/59/3798/4645/4430/64446/23026/547/9928/72/3801/4634/4648/4625/55567/29895/1062	71
hsa04371	Apelin signaling pathway	54/2205	139/8463	5.857789575425161e-4	0.003691512675833969	0.0022686573330842237	94235/2787/2776/5604/5331/112/1958/2783/10681/3710/84557/5332/2792/5581/6237/4638/23533/10891/6548/5567/10365/4209/5605/7019/5054/3845/6262/5327/54331/8877/4088/182/4087/111/4633/109/2791/59/6546/6261/6547/814/6696/146850/107/85366/340156/805/5346/595/4634/115/999/2788	54
hsa05418	Fluid shear stress and atherosclerosis	54/2205	139/8463	5.857789575425161e-4	0.003691512675833969	0.0022686573330842237	6714/71/3383/5291/5175/3725/5747/5154/3162/6385/2817/7295/6416/4790/445/857/5600/5293/1535/6382/7124/4313/10365/92/2941/5155/1906/7422/1728/27035/4259/3553/6383/1843/60/5327/6347/3552/4257/93/859/7412/7157/5608/3554/387/805/7850/7056/2353/653361/3674/8503/858	54
hsa04014	Ras signaling pathway	84/2205	236/8463	6.47609894958692e-4	0.003958084797779455	0.0024324819904412032	94235/598/5291/2260/5154/10235/4763/2787/5604/10156/5906/5578/23179/5335/4790/2783/10681/5338/2113/1942/1946/2792/5058/2263/4254/5293/6237/4804/5579/627/284/5567/283455/5899/2322/8831/2902/5155/5605/2253/9846/7422/115727/7423/1944/6464/1435/51196/3845/57186/51365/26279/5156/2261/8437/54331/1969/11145/2114/5228/5900/10125/3643/56034/4914/7039/8817/27040/2904/2791/56924/7074/3815/5337/387/805/2324/8605/4908/8399/80310/8503/2788/356	84
hsa05225	Hepatocellular carcinoma	63/2205	168/8463	6.517804307720659e-4	0.003958084797779455	0.0024324819904412032	598/71/1026/5291/122011/1452/3162/5604/51384/5578/6604/7048/7040/10023/2535/5335/23401/4616/6934/6932/6595/7480/5293/4040/5579/7471/1021/6605/2941/5605/7855/8193/4041/6464/1728/4259/7482/3845/8110/54361/1647/8321/7481/1869/60/196528/7477/7473/4257/4088/83439/4087/7157/7039/8322/7474/7976/595/10912/7042/7483/8503/8324	63
hsa04928	Parathyroid hormone synthesis, secretion and action	43/2205	106/8463	7.308650197344964e-4	0.004359087796273604	0.0026789225347411054	1026/2260/860/2776/5604/5578/5331/112/1958/5338/3710/5142/5332/7421/4040/5579/1594/90993/4323/5567/4209/5141/1839/2778/4041/468/5144/4326/9826/9935/846/111/109/9586/2625/64386/107/8600/5337/387/2353/115/408	43
hsa04068	FoxO signaling pathway	51/2205	131/8463	7.759675992981171e-4	0.004546897862553879	0.002794343155367181	1026/5291/5604/847/7048/7040/5347/4616/2290/664/23710/9455/10733/23411/1030/5600/5293/8698/10365/23678/901/894/604/5605/3569/6774/6446/3667/891/2308/3845/1647/8743/1263/4088/10769/9133/3643/3586/9454/1901/80854/3575/114907/472/595/10912/7042/8503/100132074/356	51
hsa05224	Breast cancer	56/2205	147/8463	8.201542274743316e-4	0.0047229571030418405	0.002902542184346546	1026/4791/5291/122011/2260/3725/1452/5604/51384/10023/2535/23401/4616/6934/6932/3280/7480/5293/4040/2100/7471/1021/5605/2253/7855/4041/6464/7482/3845/54361/1647/8321/7481/1869/7477/7473/3714/83439/182/7157/54567/8817/23462/8322/3815/7474/8600/7976/2324/595/10912/7483/2353/2099/8503/8324	56
hsa04658	Th1 and Th2 cell differentiation	38/2205	92/8463	9.717105815214772e-4	0.005442604117402695	0.0033448087075119	4792/3516/3932/864/3725/6776/7297/3594/5335/4790/6777/3718/5600/84441/55534/3109/3559/3592/3459/3714/182/3593/5588/54567/3595/3123/27040/916/2625/6775/919/917/3127/3596/4094/915/2353/3108	38
hsa04911	Insulin secretion	36/2205	86/8463	9.777133145034782e-4	0.005442604117402695	0.0033448087075119	3780/2776/5578/5331/112/3710/5332/776/816/5579/3767/90993/815/481/5567/3783/54795/2778/468/480/11069/6262/2645/482/486/111/109/477/3782/9586/6833/107/27094/5864/115/6804	36
hsa04672	Intestinal immune network for IgA production	23/2205	49/8463	0.0012805272642800508	0.007011411578189131	0.0043089355743677294	959/23308/57379/958/941/3695/942/7040/9020/23495/3601/3109/3600/3569/5284/115650/3586/3123/7852/3127/29851/3108/3676	23
